Gene_set	Term	P-value	Adjusted P-value	Old P-value	Old adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	OPC1cyc Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	2.578408e-10	4.244998e-08	0	0	3.203595e+00	7.073113e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;TMPO;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;ETV5;COPZ1;EEF1A1;EEF1D;DKC1;NDUFS4;PPIG;PFN1;DCTPP1;BEX1;BTF3L4;G3BP1;ANO10;POLR2G;RPL41;RRM1;IGF2;VEGFB;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;NEDD4;RPA3;SERBP1;NDUFAB1;PMP22;RPS20;MAN2B1;RPS21;EZH2
HDSigDB_Mouse_2021	OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	2.949739e-10	4.451648e-08	0	0	3.035599e+00	6.661360e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;SENP3;PDIA6;ETV5;COPZ1;EEF1A1;FRMD5;EEF1D;DKC1;NDUFS4;SPECC1L;PPIG;PFN1;DCTPP1;SNRPA;BEX1;DHX8;BTF3L4;CRIP2;G3BP1;MCMBP;POLR2G;UBQLN4;RPL41;RRM1;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;RPS21
HDSigDB_Mouse_2021	Down-regulated Genes In Cerebellum Of 6 Mon HD Q140 Mice Vs Q20 GSE78270	9.131227e-10	1.272050e-07	0	0	4.426886e+00	9.214187e+01	RPL4;COX7B;ARL6IP1;RPLP1;CRIP2;RPL8;CCND3;PDF;MDK;FTH1;POLR2G;EIF5A;RPL41;RPS5;KRT8;VEGFB;COX6C;AIG1;DLK1;RPS26;EEF1A1;H19;TRAPPC6A;KRT18;ABI3;RPS20;PFN1;RPS21;DCTPP1
HDSigDB_Mouse_2021	NP3 Neural Progenitor Cell-Enriched Genes PMID30078729	2.013056e-09	2.604031e-07	0	0	2.995415e+00	5.997904e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPS5;RPL22;PDIA6;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;SNRPA;BEX1;BTF3L4;CRIP2;ZNHIT3;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;RPL41;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;NDUFAB1;RPS20;MAN2B1;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	OPC1b Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	6.050852e-09	7.305396e-07	0	0	2.907923e+00	5.502681e+01	RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;SENP3;PDIA6;ETV5;COPZ1;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;CRIP2;G3BP1;POLR2G;RPL41;RRM1;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs Control Adrenal Gland GSE22651	6.794569e-09	7.690602e-07	0	0	2.700872e+00	5.079568e+01	RPL4;YWHAE;COX7B;TNFAIP8;RPLP1;CCNF;SLC2A1;SLC2A3;WDR89;RPL8;ACTB;TUBB5;MDK;KDR;TMPO;EIF5A;CSNK2A1;RPS5;KRT8;PDIA6;CDC25A;FAM189B;MYL7;SLC25A19;DKC1;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;DHX8;CRABP1;BTF3L4;OSGEP;CNN2;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;RPL41;CCDC58;WDR18;HSPE1;ZWINT;DHODH;RPS26;ACTC1;KRT18;ARMC10;RPA3;SERBP1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Up-Regulated In Mouse Microglia During Accelerated Aging PMID26001565	9.916075e-09	1.056354e-06	0	0	6.946322e+00	1.280145e+02	RPL41;RPS9;RRM1;RPS5;RPLP1;SLC2A1;COX6C;HSPE1;RPS26;EEF1A1;EEF1D;FTH1;MAN2B1;RPL29;RPS21;TMPO
HDSigDB_Mouse_2021	Genes Changed In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824	1.354424e-08	1.362701e-06	0	0	4.669368e+00	8.459636e+01	EIF5A;YWHAE;ACTR2;RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ZWINT;ETV5;RPS26;EEF1A1;FTH1;NEDD4;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
HDSigDB_Mouse_2021	Up-regulated Genes In Human Neurodegenerative Prefrontal Cortex PMID29375298	1.556526e-08	1.444122e-06	0	0	3.256931e+00	5.855383e+01	RPL4;TNFAIP8;CRABP2;AHNAK;RPLP1;DOCK8;CRABP1;SLC2A1;SLC41A1;FURIN;RPL8;RASIP1;CDH5;CCND3;PRDX1;G3BP1;RPL13;ANXA2;RPS5;RPL22;IGF2;VEGFB;HSPE1;SENP3;H19;TMEM54;EEF1D;ABI3;NEDD4;HAND2;SPECC1L;ESAM;RPS20;VIM;RPL29;RPS21;SNRPA;MYH7
HDSigDB_Mouse_2021	Genes Down-Regulated In HD iPSCs After 100 D Of Differentiation GSE109534	1.594834e-08	1.444122e-06	0	0	2.618307e+00	4.700885e+01	RPL4;YWHAE;TNFAIP8;RPLP1;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;GRB10;KDR;TMPO;EIF5A;TLE4;ACTR2;RPS9;RPS5;KRT8;SENP3;PDIA6;ETV5;CDC25A;EEF1A1;FAM189B;SLC25A19;DKC1;NCL;SPECC1L;RAPGEF5;PFN1;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;CCDC58;WDR18;HSPE1;ZWINT;DHODH;ACTC1;KRT18;ARMC10;ABI3;SERBP1;NDUFAB1;TSR1;RPS20;MAN2B1
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs NuFF Cell Line GSE22651	3.006769e-08	2.592981e-06	0	0	2.585923e+00	4.478770e+01	YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;WDR89;RPL8;TUBB5;MDK;KDR;TMPO;CSNK2A1;KRT8;CDC25A;TRAPPC6A;FRMD5;MYL7;SLC25A19;DKC1;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;CNNM3;RPL41;RRM1;CCDC58;WDR18;COX6C;HSPE1;ZWINT;DLK1;DHODH;RPS26;ACTC1;KRT18;ARMC10;ABI3;TSPAN18;RPA3;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Top Neuron-Expressed Genes In Humans And Mice PMID29892006	3.295140e-08	2.654233e-06	0	0	4.021495e+00	6.928325e+01	RPL4;YWHAE;COX7B;BEX1;ARL6IP1;SLC2A3;RPL8;ACTB;TUBB5;UBB;FTH1;ACTR2;RPL41;RPS9;PEG3;RPS5;COX6C;ZWINT;EEF1A1;NCL;NEDD4;SERBP1;VPS41;CYTB;PPIG;CALM2
HDSigDB_Mouse_2021	Top OPC-expressed Genes In Humans And Mice PMID29892006	3.370920e-08	2.654233e-06	0	0	4.016560e+00	6.910690e+01	RPL4;YWHAE;SPARC;ARL6IP1;ACTB;TUBB5;UBB;FTH1;PRDX1;MCMBP;TMPO;ACTR2;RPL41;RPS9;RPS5;RPL22;IGF2;PDIA6;ZWINT;ETV5;EEF1A1;NCL;NEDD4;CYTB;PPIG;CALM2
HDSigDB_Mouse_2021	The Global Proteome Data Of The Insoluble Fraction From The Brains Of Q175 And WT Mice PMID31138642	3.784970e-08	2.856075e-06	0	0	3.182152e+00	5.438185e+01	RPL4;YWHAE;RPLP1;SLC2A1;CRIP2;SLC2A3;RPL8;TUBB5;FTH1;PRDX1;G3BP1;RPL13;UBQLN4;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPL22;KRT8;COX6C;HSPE1;PDIA6;RPS26;EEF1A1;ARMC10;EEF1D;DKC1;NCL;NEDD4;SERBP1;NDUFS4;NDUFAB1;SPECC1L;RPS20;VIM;RPS21
HDSigDB_Mouse_2021	Differentially Expressed Proteins In iPSCs From HD Patient And Controls PMID30713489	5.671681e-08	4.108566e-06	0	0	1.797669e+01	2.999446e+02	YWHAE;EIF5A;UBB;RPLP1;SERBP1;IGF2BP1;PFN1;RPL29
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs SC41-MSC Cell Line GSE22651	6.478415e-08	4.512465e-06	0	0	2.566323e+00	4.247831e+01	RPL4;YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;WDR89;RPL8;TUBB5;MDK;KDR;TMPO;RPS9;CSNK2A1;RPS5;KRT8;CDC25A;TRAPPC6A;MYL7;SLC25A19;DKC1;NCL;RPL29;DCTPP1;SNRPA;BEX1;CRABP2;CRABP1;BTF3L4;RASIP1;OSGEP;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;CCDC58;WDR18;HSPE1;ZWINT;DLK1;DHODH;RPS26;ACTC1;KRT18;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs HS-27 Cell Line GSE22651	1.094839e-07	7.343528e-06	0	0	2.508334e+00	4.020229e+01	RPL4;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;WDR89;RPL8;MDK;GRB10;KDR;TMPO;CSNK2A1;KRT8;CDC25A;TRAPPC6A;MYL7;SLC25A19;DKC1;NCL;PPIG;RPL29;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;CCDC58;WDR18;HSPE1;ZWINT;DLK1;DHODH;RPS26;H19;ACTC1;KRT18;ARMC10;ABI3;TSPAN18;RPA3;SERBP1;NDUFAB1;TSR1;RPS20;EZH2
HDSigDB_Mouse_2021	Genes Up-Regulated In Human Symptomatic HD BA9 Vs Control GSE129473	1.169284e-07	7.562761e-06	0	0	2.791294e+00	4.455381e+01	RPL4;TNFAIP8;SPARC;CRABP2;AHNAK;RPLP1;DOCK8;CRABP1;SLC2A1;SLC41A1;RPL8;CNN2;CDH5;CCND3;PRDX1;G3BP1;KDR;RPL13;MCMBP;TMPO;RPL41;ANXA2;ARG1;RPS5;RPL22;IGF2;KRT8;HSPE1;PDIA6;CDC25A;RPS26;EEF1A1;KRT18;NEDD4;HAND2;SERBP1;ESAM;RPS20;HOXD4;VIM;RPL29;RPS21;SNRPA;MYH7
HDSigDB_Mouse_2021	Down-regulated Genes In Gonadal Adipose Tissue Of 6 Mon HD Q175 Mice Vs WT GSE76752	1.245129e-07	7.775615e-06	0	0	2.709722e+00	4.308148e+01	RPL4;YWHAE;SNORD15B;COX7B;TNFAIP8;RPLP1;BTF3L4;RPL8;OSGEP;PDF;ZNHIT3;FTH1;PRDX1;RPL13;ANO10;POLR2G;EIF5A;RPL41;RPS9;RPS5;CCDC58;WDR18;RPL22;VEGFB;COX6C;RPL34-PS1;HSPE1;SENP3;ZWINT;COPZ1;RPS26;EEF1A1;DRAP1;TRAPPC6A;ARMC10;EEF1D;DKC1;RPA3;NDUFS4;NDUFAB1;RPS20;CYTB;RPL29;PFN1;RPS21;DCTPP1;SNRPA
HDSigDB_Mouse_2021	Genes Down-Regulated In Control iPSCs After 100 D Of Differentiation GSE109534	1.477121e-07	8.740353e-06	0	0	2.482319e+00	3.904192e+01	RPL4;YWHAE;TNFAIP8;RPLP1;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;GRB10;KDR;TMPO;EIF5A;ACTR2;RPS9;RPS5;KRT8;SENP3;PDIA6;CDC25A;EEF1A1;FAM189B;MYL7;EEF1D;SLC25A19;DKC1;NCL;PFN1;DCTPP1;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;ZWINT;DHODH;KRT18;ARMC10;ABI3;SERBP1;TSR1;MAN2B1;EZH2
HDSigDB_Mouse_2021	Striatum RNA M22 Module (Darkgreen) PMID26900923	1.496140e-07	8.740353e-06	0	0	4.759014e+00	7.478889e+01	RPL4;EIF5A;RPL41;RPS9;COX7B;CSNK2A1;RPS5;RPL22;COX6C;RPL8;RPS26;UBB;PRDX1;NDUFS4;RPL13;RPS20;POLR2G;RPL29;RPS21
HDSigDB_Mouse_2021	COP Committed Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	1.646566e-07	9.318536e-06	0	0	2.658608e+00	4.152588e+01	RPL4;YWHAE;COX7B;SPARC;BEX1;ARL6IP1;RPLP1;BTF3L4;RPL8;ACTB;CSRP3;TUBB5;FTH1;G3BP1;POLR2G;TMPO;EIF5A;TLE4;ACTR2;RPL41;RPS9;CSNK2A1;RPS5;WDR18;RPL22;IGF2;COX6C;RPL34-PS1;HSPE1;PDIA6;ZWINT;COPZ1;RPS26;EEF1A1;EEF1D;DKC1;NEDD4;RPA3;SERBP1;NDUFS4;VPS41;NDUFAB1;RPS20;PPIG;PFN1;RPS21;DCTPP1;EZH2
HDSigDB_Mouse_2021	Cortex RNA M22 Module (Darkgreen) PMID26900923	1.901572e-07	1.043560e-05	0	0	4.919810e+00	7.613610e+01	RPL4;EIF5A;COX7B;BEX1;RPL22;CPOX;COX6C;HSPE1;ACTB;COPZ1;EEF1A1;PDF;UBB;ZNHIT3;PRDX1;RPA3;RPL13;POLR2G
HDSigDB_Mouse_2021	The Global Proteome Data Of The Soluble Fraction From The Brains Of Q175 And WT Mice PMID31138642	2.346136e-07	1.249662e-05	0	0	2.489872e+00	3.800870e+01	RPL4;YWHAE;SPARC;RPLP1;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;EEF1A1;EEF1D;SLC25A19;NCL;NDUFS4;RPL29;SNRPA;BTF3L4;CRIP2;CCDC85B;CBS;PRDX1;G3BP1;RPL13;ANO10;CNNM3;UBQLN4;CCDC58;COX6C;HSPE1;ZWINT;DHODH;RPS26;DRAP1;ARMC10;ABI3;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;VIM;RPS21
HDSigDB_Mouse_2021	Genes Down-Regulated In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824	2.421880e-07	1.253150e-05	0	0	4.834491e+00	7.364647e+01	RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ETV5;RPS26;EEF1A1;FTH1;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
HDSigDB_Mouse_2021	Cortex RNA M17 Module (Grey60) PMID26900923	3.349712e-07	1.685091e-05	0	0	7.352660e+00	1.096224e+02	DRAP1;RPL41;RPS9;TUBB5;RPS5;FTH1;RPS20;RPL29;RPL8;PFN1;RPS21;DHODH
HDSigDB_Mouse_2021	Mbf1 Suppressor Deletion In Htt103Q Yeasts Vs Control Htt25Q Strain GSE18644	3.549940e-07	1.737552e-05	0	0	3.361435e+00	4.992123e+01	RPL4;YWHAE;RPLP1;SLC2A1;CPOX;SLC2A3;WDR89;CNN2;TUBB5;UBB;CBS;PRDX1;RPL13;EIF5A;ACTR2;RPS9;RRM1;ARG1;RPL22;HSPE1;COPZ1;RPS26;DRAP1;EEF1D;DKC1;RPL29;RPS21;SNRPA
HDSigDB_Mouse_2021	Genes Down-Regulated In Control iPSCs After 130 D Of Differentiation GSE109534	3.743002e-07	1.783836e-05	0	0	2.474246e+00	3.661441e+01	TNFAIP8;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;WDR89;ACTB;CDH5;TUBB5;MDK;GRB10;KDR;TMPO;EIF5A;RPS9;CSNK2A1;KRT8;SENP3;PDIA6;CDC25A;FAM189B;SLC25A19;DKC1;NCL;RAPGEF5;PFN1;DCTPP1;SNRPA;CRABP2;CRABP1;RASIP1;CNN2;PDF;UBB;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;MCMBP;MEST;RRM1;WDR18;HSPE1;ZWINT;ACTC1;KRT18;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;TSR1
HDSigDB_Mouse_2021	Genes Changed In Mouse Microglia During Accelerated Aging PMID26001565	3.996010e-07	1.855583e-05	0	0	4.914741e+00	7.240790e+01	RPL41;RPS9;RRM1;RPS5;RPLP1;SLC2A1;COX6C;HSPE1;RPS26;EEF1A1;EEF1D;FTH1;MAN2B1;RPL29;RPS21;CALM2;TMPO
HDSigDB_Mouse_2021	Genes Down-Regulated In Control iPSCs After 80 D Of Differentiation GSE109534	4.178669e-07	1.891892e-05	0	0	2.382508e+00	3.499452e+01	YWHAE;TNFAIP8;RPLP1;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;GRB10;KDR;TMPO;EIF5A;ACTR2;RPS9;RPS5;KRT8;SENP3;PDIA6;ETV5;CDC25A;EEF1A1;FAM189B;MYL7;EEF1D;SLC25A19;DKC1;NCL;PFN1;DCTPP1;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;HSPE1;ZWINT;DHODH;KRT18;ARMC10;ABI3;SERBP1;TSR1;MAN2B1;EZH2
HDSigDB_Mouse_2021	NFOL Newly Formed Oligodendrocyte-Enriched Genes PMID30078729	4.495428e-07	1.962528e-05	0	0	2.418754e+00	3.535017e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;CPOX;RPL8;ACTB;CSRP3;TUBB5;FTH1;TMPO;EIF5A;TLE4;ACTR2;RPS9;CSNK2A1;RPS5;COG4;RPL22;SENP3;PDIA6;COPZ1;EEF1A1;EEF1D;DKC1;NDUFS4;FKBP9;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;ZNHIT3;G3BP1;MCMBP;POLR2G;RPL41;WDR18;IGF2;COX6C;RPL34-PS1;HSPE1;ZWINT;RPS26;DRAP1;NEDD4;RPA3;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;RPS21;EZH2
