Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	Top Oligodendrocyte-Expressed Genes In Humans And Mice PMID29892006	45/1051	1.825560e-18	3.045366e-16	0	0	6.053249e+00	2.472428e+02	RPL4;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP0;RPL8;ACTB;RPS14;ATP5B;TUBA1B;TUBB5;ZMYM2;PPP2R1A;FTH1;RPLP2;SNX5;CCT5;RPL19;SH3GLB1;CCT3;CAR2;HSPA8;CCT2;RPL41;NPM1;HSPA5;MDH1;RPL23;CNBP;RPS5;ANXA5;HSPE1;COX6C;SOD1;EEF1A1;NCL;NEDD4;NF1;CYTB;ALDOA;CRYAB;GAS5;EIF4G2
HDSigDB_Mouse_2021	PLC Pericyte Lineage Cell-Enriched Genes PMID30078729	90/4104	6.466558e-18	9.888445e-16	0	0	3.769201e+00	1.491846e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;PLXND1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;RPL22;IGFBP2;ANXA5;MMP9;EEF1A1;EEF1G;SFRP1;FKBP4;ALDOA;GAS5;ANAPC1;CRABP2;ATP5K;CRIP2;GSPT1;ATP5B;LARP1;PPP4C;TCOF1;G3BP1;YKT6;SNX5;CCT5;RPL19;CAR2;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;H19;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;VIM;PKIG;RPS21;EIF4G2
HDSigDB_Mouse_2021	OPC1cyc Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	75/3014	2.270600e-17	3.205039e-15	0	0	3.951213e+00	1.514259e+02	RPL4;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;MKI67;PHB2;SPPL3;ACTB;RPS15;RPS14;TUBB5;ZMYM2;PPP2R1A;MDK;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;CCT2;PARP1;RPS5;RPL22;IGFBP2;EEF1A1;EEF1G;DKC1;UNC50;FKBP4;ALDOA;GAS5;ANAPC1;ATP5K;GSPT1;ATP5B;TCOF1;G3BP1;SNX5;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;RPS21;EIF4G2
HDSigDB_Mouse_2021	Down-regulated Genes In Cerebellum Of 6 Mon HD Q140 Mice Vs Q20 GSE78270	45/1143	4.450833e-17	5.719585e-15	0	0	5.518929e+00	2.077924e+02	RPL4;RNASEH2C;PLVAP;COX7B;RPL3;RPL32;RPLP1;CITED4;ATP5K;CRIP2;RPL8;RPS15;RPS14;LGALS1;TMEM88;MDK;GUK1;CHEK2;FTH1;C1QBP;RPLP2;RPL19;EIF5A;MBD3;1810058I24RIK;CAR2;RPL41;NDUFA5;RPS8;RPL23;CNBP;RPS5;IGFBP2;KRT8;COX6C;SOD1;EEF1A1;RPS26;H19;KRT18;RPL26;FKBP4;PKIG;RPS21;CRYAB
HDSigDB_Mouse_2021	The Global Proteome Data Of The Soluble Fraction From The Brains Of Q175 And WT Mice PMID31138642	86/3901	4.675410e-17	5.719585e-15	0	0	3.680654e+00	1.383986e+02	RPL4;SPARC;RPL3;DDX3X;HSP90AB1;PLXND1;RPL32;RPLP1;RPLP0;SLC2A1;RPL8;PHB2;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;PPP2R1A;GUK1;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;SH3GLB1;EIF5A;CCT3;CCT2;ANXA2;RPS8;RPL23;RPS5;DCAKD;RPL22;ANXA5;EEF1A1;EEF1G;NCL;RPL26;RPL29;FKBP4;ALDOA;CRYAB;ANAPC1;ATP5K;CRIP2;GSPT1;UBE2J1;STIP1;ATP5B;LARP1;PPP4C;PODXL;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;MBD3;CAR2;HSPA8;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;HSPE1;COX6C;SOD1;RPS26;AIMP1;NASP;DLG3;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;VIM;PKIG;RPS21;EIF4G2
HDSigDB_Mouse_2021	NP1b Neural Progenitor Cell-Enriched Genes PMID30078729	96/4741	5.061368e-17	5.804756e-15	0	0	3.563010e+00	1.336924e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;SLC2A1;RPL8;PHB2;SPPL3;ACTB;DUSP14;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;TMEM88;MDK;PCF11;FTH1;C1QBP;KDR;RPLP2;TXNL4A;PHLDA1;RRP15;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;ANXA5;EEF1A1;EEF1G;DKC1;UNC50;FKBP4;ALDOA;GAS5;ANAPC1;RNASEH2C;CRABP2;ATP5K;CRIP2;GSPT1;UBE2J1;ATP5B;LARP1;PPP4C;TCOF1;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;CAR2;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;VIM;PKIG;RPS21;EIF4G2
HDSigDB_Mouse_2021	NP3 Neural Progenitor Cell-Enriched Genes PMID30078729	77/3212	5.667896e-17	6.117994e-15	0	0	3.829054e+00	1.432416e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;RPLP2;TXNL4A;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;EEF1A1;EEF1G;UNC50;FKBP4;ALDOA;GAS5;ANAPC1;ATP5K;CRIP2;GSPT1;ATP5B;LARP1;PPP4C;G3BP1;YKT6;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;RPS26;AIMP1;NASP;EIF3L;FASN;NEDD4;SERBP1;VIM;RPS21;EIF4G2
HDSigDB_Mouse_2021	pnVLMC Post-Natal Vascular And Leptomeningeal Cell-Enriched Genes PMID30078729	85/3861	9.015996e-17	9.191307e-15	0	0	3.647171e+00	1.347445e+02	RPL4;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;SPPL3;ACTB;DUSP14;RPS15;CDH5;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;PHLDA1;RRP15;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;RPL22;IGFBP2;ANXA5;EEF1A1;EEF1G;DKC1;ALDOA;CRYAB;GAS5;RNASEH2C;CRABP2;ATP5K;GSPT1;UBE2J1;ATP5B;LARP1;PPP4C;TCOF1;G3BP1;YKT6;SNX5;CCT5;RPL19;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;RHEB;EIF3L;NEDD4;SERBP1;VIM;PKIG;RPS21;EIF4G2
HDSigDB_Mouse_2021	Top Microglia-Expressed Genes In Humans And Mice PMID29892006	42/1062	5.290713e-16	5.109715e-14	0	0	5.450373e+00	1.917191e+02	RPL4;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;POMP;RPLP0;RPL8;ACTB;UBE2J1;RPS14;ATP5B;TUBA1B;TUBB5;PCF11;FTH1;RPLP2;SNX5;RPL19;SH3GLB1;HSPA8;CCT2;RPL41;NPM1;HSPA5;MDH1;RPS8;RPL23;CNBP;RPS5;RPL22;ANXA5;HSPE1;EEF1A1;RHEB;NCL;SERBP1;CYTB;ALDOA;EIF4G2
HDSigDB_Mouse_2021	OPC1b Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	75/3191	5.627105e-16	5.162869e-14	0	0	3.687685e+00	1.294885e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;PCF11;FTH1;C1QBP;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;CCT2;PARP1;RPS5;DCAKD;RPL22;EEF1A1;EEF1G;FKBP4;ALDOA;GAS5;ANAPC1;ATP5K;CRIP2;GSPT1;ATP5B;LARP1;G3BP1;YKT6;SNX5;CCT5;RPL19;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;RPS21;EIF4G2
HDSigDB_Mouse_2021	OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	82/3751	7.326157e-16	6.401666e-14	0	0	3.538000e+00	1.232990e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;EEF1A1;EEF1G;DKC1;FKBP4;ALDOA;GAS5;ATP5K;CRIP2;GSPT1;UBE2J1;ATP5B;TCOF1;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;DLG3;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;RPS21;EIF4G2
HDSigDB_Mouse_2021	COP Committed Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	73/3128	2.573216e-15	2.146296e-13	0	0	3.608183e+00	1.212119e+02	RPL4;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;TUBB5;ZMYM2;PPP2R1A;TMEM88;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;PARP1;RPS5;RPL22;EEF1A1;EEF1G;DKC1;FKBP4;ALDOA;GAS5;ANAPC1;ATP5K;GSPT1;ATP5B;LARP1;G3BP1;YKT6;SNX5;CCT5;RPL19;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;RPS21;EIF4G2
HDSigDB_Mouse_2021	NP2 Neural Progenitor Cell-Enriched Genes PMID30078729	91/4741	2.304478e-14	1.838573e-12	0	0	3.191365e+00	1.002131e+02	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;GJA1;TUBB5;LGALS1;ZMYM2;PPP2R1A;MDK;PCF11;FTH1;C1QBP;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;ANXA2;PARP1;RPS5;DCAKD;RPL22;IGFBP2;ANXA5;EEF1A1;EEF1G;DKC1;FKBP4;ALDOA;GAS5;ANAPC1;CRABP2;CRABP1;ATP5K;CRIP2;GSPT1;UBE2J1;ATP5B;LARP1;PPP4C;TCOF1;G3BP1;YKT6;SNX5;CCT5;RPL19;NAA50;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;H19;NASP;DLG3;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;VIM;RPS21;EIF4G2
HDSigDB_Mouse_2021	Top Neuron-Expressed Genes In Humans And Mice PMID29892006	39/1051	5.569215e-14	4.258129e-12	0	0	4.997656e+00	1.525231e+02	RPL4;ATF2;COX7B;RPL3;DDX3X;HSP90AB1;RPL8;ACTB;RPS14;ATP5B;TUBA1B;TUBB5;LARP1;PPP2R1A;FTH1;CCT5;RPL19;CCT3;HSPA8;CCT2;RPL41;NPM1;HSPA5;NDUFA5;MDH1;RPL23;CNBP;RPS5;COX6C;SOD1;EEF1A1;NCL;NEDD4;SERBP1;NF1;CYTB;ALDOA;GAS5;EIF4G2
HDSigDB_Mouse_2021	Postsynaptic Density Proteins PMID21170055	47/1530	9.594657e-14	6.803930e-12	0	0	4.241014e+00	1.271243e+02	RPL4;RPL3;DDX3X;HSP90AB1;RPLP0;SLC2A1;ATP5K;CRIP2;RPL8;PHB2;ACTB;RPS14;STIP1;ATP5B;GJA1;TUBA1B;PPP2R1A;GUK1;FTH1;C1QBP;ANXA6;SNX5;CCT5;CCT3;CAR2;HSPA8;CCT2;NPM1;ANXA2;HSPA5;NDUFA5;PARP1;MDH1;RPS8;HSPA4;RPS5;DCAKD;ANXA5;COX6C;EEF1A1;EEF1G;DLG3;FASN;VIM;FKBP4;ALDOA;CRYAB
HDSigDB_Mouse_2021	Up-regulated Insoluble Proteins In Cerebral Cortex Of 12 Wk R6/2 Mice PXD004973	23/341	9.640446e-14	6.803930e-12	0	0	8.759209e+00	2.625155e+02	EIF5A;CAR2;HSPA8;CCT2;NPM1;HSPA5;MDH1;RPS8;RPS5;ANXA5;HBA-X;KRT8;HBA-A2;ACTB;SOD1;RPS15;RPS14;ATP5B;ACTC1;DLG3;RPL26;VIM;ALDOA
HDSigDB_Mouse_2021	Insoluble Proteins Enriched In Brain Of 12 Wk R6/2 Mice Vs WT PMID29166617	30/644	2.286428e-13	1.553924e-11	0	0	6.092263e+00	1.773252e+02	RPL3;DDX3X;HSP90AB1;RPL32;RPL8;PHB2;ACTB;RPS14;ATP5B;TUBA1B;TUBB5;LARP1;PPP2R1A;EIF5A;HSPA8;CCT2;NPM1;PARP1;RPS8;RPS5;KRT8;SOD1;EEF1A1;AIMP1;EEF1G;ACTC1;DLG3;RPL26;VIM;ALDOA
HDSigDB_Mouse_2021	Genes Up-Regulated In Meclizine Treated STHdhQ111 Vs Control GSE129143	45/1548	2.509984e-12	1.644936e-10	0	0	3.944557e+00	1.053621e+02	RPL4;KCNK5;HSP90AB1;CRABP2;RPL32;RPLP0;BCCIP;SLC2A1;RPL8;WDR89;PHB2;NUBP1;RPS14;LARP1;TCOF1;FTH1;C1QBP;G3BP1;TXNL4A;SNX5;RRP15;CCT5;RPL19;NAA50;EIF5A;MBD3;CCT2;NPM1;HSPA5;RPS8;HSPA4;RPL23;CNBP;RPS5;RPL22;HSPE1;EEF1A1;RPS26;AIMP1;EEF1G;DKC1;NCL;RPL29;FKBP4;GAS5
HDSigDB_Mouse_2021	NFOL Newly Formed Oligodendrocyte-Enriched Genes PMID30078729	80/4197	4.580180e-12	2.898149e-10	0	0	2.933241e+00	7.658482e+01	RPL4;ATF2;COX7B;SPARC;RPL3;DDX3X;HSP90AB1;RPL32;RPLP1;RPLP0;BCCIP;RPL8;PHB2;SPPL3;ACTB;RPS15;RPS14;TUBB5;ZMYM2;PPP2R1A;TMEM88;PCF11;FTH1;C1QBP;ANXA6;RPLP2;TXNL4A;PHLDA1;SH3GLB1;EIF5A;CCT3;1810058I24RIK;CCT2;PARP1;RPS5;DCAKD;RPL22;EEF1A1;EEF1G;DKC1;UNC50;FKBP4;ALDOA;CRYAB;GAS5;ANAPC1;ATP5K;GSPT1;ATP5B;LARP1;PPP4C;G3BP1;YKT6;SNX5;CCT5;RPL19;HSPA8;RPL41;NPM1;HSPA5;NDUFA5;MDH1;HSPA4;CNBP;IGF2;HSPE1;RPL34-PS1;COX6C;SOD1;RPS26;AIMP1;NASP;RHEB;EIF3L;FASN;NEDD4;SERBP1;NF1;RPS21;EIF4G2
HDSigDB_Mouse_2021	Top OPC-expressed Genes In Humans And Mice PMID29892006	36/1043	5.051410e-12	3.089779e-10	0	0	4.543359e+00	1.181789e+02	RPL4;SPARC;RPL3;DDX3X;HSP90AB1;RPLP0;ACTB;RPS14;ATP5B;TUBA1B;TUBB5;PPP2R1A;FTH1;ANXA6;SNX5;CCT5;CCT3;HSPA8;RPL41;NPM1;HSPA5;MDH1;HSPA4;CNBP;RPS5;RPL22;IGF2;SOD1;EEF1A1;NASP;NCL;NEDD4;NF1;CYTB;ALDOA;EIF4G2
HDSigDB_Mouse_2021	Cytoplasm Protein Composition PMID16615899	24/461	7.098301e-12	4.201736e-10	0	0	6.651831e+00	1.707602e+02	CAR2;HSPA8;CCT2;HSP90AB1;RPL32;MDH1;HSPA4;RPL23;ANXA5;ACTB;GSPT1;SOD1;EEF1A1;AIMP1;STIP1;TUBA1B;TUBB5;ACTC1;PPP2R1A;FASN;FTH1;ANXA6;FKBP4;RPL19
HDSigDB_Mouse_2021	Genes Down-Regulated In Endothelial Cells Of zQ175DN Vs WT PMID32681824	24/487	2.233045e-11	1.280512e-09	0	0	6.269870e+00	1.537690e+02	ATF2;HSPA8;RPL41;SPARC;RPL3;DDX3X;HSP90AB1;RPS8;RPL23;CNBP;RPS5;POMP;SLC2A1;CRIP2;RPL34-PS1;ACTB;RPS15;TUBB5;LARP1;PODXL;SERBP1;G3BP1;RPL26;ANAPC1
HDSigDB_Mouse_2021	Insoluble Proteins Enriched In Cortex Of 12 Wk R6/2 Mice Vs WT PMID29166617	17/230	4.535619e-11	2.522079e-09	0	0	9.368615e+00	2.231274e+02	EIF5A;HSPA8;NPM1;ANXA2;RPS5;ACTB;SOD1;EEF1A1;EEF1G;RPS14;ATP5B;TUBA1B;ACTC1;DLG3;RPL26;VIM;ALDOA
HDSigDB_Mouse_2021	Genes Up-Regulated In Diacylglycerol Kinase Inhibitor II Treated STHdhQ111 Vs Control GSE129143	58/2653	9.860357e-11	5.205536e-09	0	0	3.054770e+00	7.038163e+01	RPL4;KCNK5;RPL32;CITED1;RPLP1;RPLP0;BCCIP;SLC2A1;RPL8;PHB2;NUBP1;RPS15;RPS14;GUK1;CHEK2;FTH1;C1QBP;KDR;RPLP2;RRP15;EIF5A;CCT2;RPS8;RPL23;RPS5;RPL22;EEF1A1;EEF1G;DKC1;NCL;1810010H24RIK;RPL29;FKBP4;ALDOA;GAS5;CRABP2;1110002L01RIK;RASIP1;LARP1;TCOF1;G3BP1;SNX5;CCT5;RPL19;NAA50;MBD3;HSPA8;NPM1;HSPA5;HSPA4;CNBP;HSPE1;RPL34-PS1;RPS26;AIMP1;SERBP1;RPS21;EIF4G2
