Gene_set	Term	Overlap	P-value	Adjusted P-value	Old P-value	Old Adjusted P-value	Odds Ratio	Combined Score	Genes
HDSigDB_Mouse_2021	Top Microglia-Expressed Genes In Humans And Mice PMID29892006	29/1062	1.410028e-09	2.242377e-07	0	0	4.329773e+00	8.823929e+01	RPL4;YWHAE;SPARC;ARL6IP1;DOCK8;RPLP1;RPL8;ACTB;TUBB5;UBB;FTH1;PRDX1;RPL13;ACTR2;RPS9;RPL41;RPS5;RPL22;HSPE1;PDIA6;EEF1A1;NCL;SERBP1;PMP22;RPS20;MAN2B1;PPIG;CYTB;CALM2
HDSigDB_Mouse_2021	OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	60/3751	1.485838e-09	2.242377e-07	0	0	2.886379e+00	5.867226e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;SENP3;COPZ1;ETV5;EEF1A1;FRMD5;DKC1;EEF1D;SPECC1L;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;DHX8;BTF3L4;CRIP2;G3BP1;MCMBP;POLR2G;UBQLN4;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;RPS21
HDSigDB_Mouse_2021	Down-regulated Genes In Cerebellum Of 6 Mon HD Q140 Mice Vs Q20 GSE78270	29/1143	7.401019e-09	1.026411e-06	0	0	3.997668e+00	7.484293e+01	RPL4;COX7B;ARL6IP1;RPLP1;CRIP2;RPL8;CCND3;PDF;MDK;FTH1;POLR2G;EIF5A;RPL41;RPS5;KRT8;VEGFB;AIG1;COX6C;DLK1;EEF1A1;RPS26;H19;TRAPPC6A;KRT18;ABI3;RPS20;PFN1;RPS21;DCTPP1
HDSigDB_Mouse_2021	NP3 Neural Progenitor Cell-Enriched Genes PMID30078729	53/3212	7.934706e-09	1.026411e-06	0	0	2.857304e+00	5.329450e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPS5;RPL22;PDIA6;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;SNRPA;BEX1;BTF3L4;CRIP2;ZNHIT3;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;RPL41;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;NDUFAB1;RPS20;MAN2B1;VIM;RPS21;EZH2
HDSigDB_Mouse_2021	OPC1b Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	52/3191	1.820592e-08	2.198062e-06	0	0	2.796104e+00	4.983082e+01	RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;SENP3;COPZ1;ETV5;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;CRIP2;G3BP1;POLR2G;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Up-Regulated In Mouse Microglia During Accelerated Aging PMID26001565	16/379	3.023903e-08	3.422680e-06	0	0	6.362126e+00	1.101547e+02	RPS9;RPL41;RRM1;RPS5;RPLP1;SLC2A1;HSPE1;COX6C;EEF1A1;RPS26;EEF1D;FTH1;MAN2B1;RPL29;RPS21;TMPO
HDSigDB_Mouse_2021	Genes Changed In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824	23/806	4.007759e-08	4.269442e-06	0	0	4.375379e+00	7.452342e+01	EIF5A;YWHAE;ACTR2;RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ZWINT;ETV5;EEF1A1;RPS26;FTH1;NEDD4;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
HDSigDB_Mouse_2021	The Global Proteome Data Of The Insoluble Fraction From The Brains Of Q175 And WT Mice PMID31138642	37/1901	5.350900e-08	5.383600e-06	0	0	3.131565e+00	5.243309e+01	RPL4;YWHAE;RPLP1;SLC2A1;SLC2A3;CRIP2;RPL8;TUBB5;FTH1;PRDX1;G3BP1;RPL13;UBQLN4;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPL22;KRT8;HSPE1;COX6C;PDIA6;EEF1A1;RPS26;ARMC10;DKC1;EEF1D;NCL;NEDD4;SERBP1;SPECC1L;NDUFS4;NDUFAB1;RPS20;VIM;RPS21
HDSigDB_Mouse_2021	Top OPC-expressed Genes In Humans And Mice PMID29892006	26/1043	7.104872e-08	6.772065e-06	0	0	3.851579e+00	6.339661e+01	RPL4;YWHAE;SPARC;ARL6IP1;ACTB;TUBB5;UBB;FTH1;PRDX1;MCMBP;TMPO;ACTR2;RPS9;RPL41;RPS5;RPL22;IGF2;PDIA6;ZWINT;ETV5;EEF1A1;NCL;NEDD4;PPIG;CYTB;CALM2
HDSigDB_Mouse_2021	Top Neuron-Expressed Genes In Humans And Mice PMID29892006	26/1051	8.261381e-08	7.480681e-06	0	0	3.819895e+00	6.229900e+01	RPL4;YWHAE;COX7B;BEX1;ARL6IP1;SLC2A3;RPL8;ACTB;TUBB5;UBB;FTH1;ACTR2;RPS9;RPL41;PEG3;RPS5;COX6C;ZWINT;EEF1A1;NCL;NEDD4;SERBP1;VPS41;PPIG;CYTB;CALM2
HDSigDB_Mouse_2021	Striatum RNA M22 Module (Darkgreen) PMID26900923	19/613	1.937244e-07	1.670642e-05	0	0	4.665914e+00	7.212024e+01	RPL4;EIF5A;RPS9;RPL41;COX7B;CSNK2A1;RPS5;RPL22;RPL8;COX6C;RPS26;UBB;PRDX1;NDUFS4;RPL13;RPS20;POLR2G;RPL29;RPS21
HDSigDB_Mouse_2021	Cortex RNA M22 Module (Darkgreen) PMID26900923	18/570	3.175489e-07	2.614005e-05	0	0	4.731203e+00	7.079126e+01	RPL4;EIF5A;COX7B;BEX1;RPL22;CPOX;HSPE1;COX6C;ACTB;COPZ1;EEF1A1;PDF;UBB;ZNHIT3;PRDX1;RPA3;RPL13;POLR2G
HDSigDB_Mouse_2021	The Global Proteome Data Of The Soluble Fraction From The Brains Of Q175 And WT Mice PMID31138642	56/3901	3.441995e-07	2.710197e-05	0	0	2.453560e+00	3.651398e+01	RPL4;YWHAE;SPARC;RPLP1;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;EEF1A1;EEF1D;SLC25A19;NCL;NDUFS4;RPL29;SNRPA;BTF3L4;CRIP2;CCDC85B;CBS;PRDX1;G3BP1;RPL13;ANO10;CNNM3;UBQLN4;CCDC58;HSPE1;COX6C;ZWINT;DHODH;RPS26;DRAP1;ARMC10;ABI3;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;VIM;RPS21
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs Control Adrenal Gland GSE22651	64/4779	3.868994e-07	2.919479e-05	0	0	2.361200e+00	3.486335e+01	RPL4;YWHAE;COX7B;TNFAIP8;RPLP1;CCNF;SLC2A1;SLC2A3;RPL8;WDR89;ACTB;TUBB5;MDK;KDR;TMPO;EIF5A;CSNK2A1;RPS5;KRT8;PDIA6;CDC25A;FAM189B;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;DHX8;CRABP1;BTF3L4;OSGEP;CNN2;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;RPL41;WDR18;CCDC58;HSPE1;ZWINT;DHODH;RPS26;KRT18;ACTC1;ARMC10;RPA3;SERBP1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In HD iPSCs After 100 D Of Differentiation GSE109534	65/4907	4.415105e-07	3.198302e-05	0	0	2.342524e+00	3.427830e+01	RPL4;YWHAE;TNFAIP8;DOCK8;RPLP1;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;RPS5;KRT8;PDIA6;SENP3;CDC25A;ETV5;EEF1A1;FAM189B;DKC1;SLC25A19;NCL;SPECC1L;PFN1;RAPGEF5;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DHODH;KRT18;ACTC1;ARMC10;ABI3;SERBP1;NDUFAB1;TSR1;RPS20;MAN2B1
HDSigDB_Mouse_2021	Genes Down-Regulated In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824	18/586	4.751934e-07	3.309905e-05	0	0	4.594117e+00	6.688825e+01	RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ETV5;EEF1A1;RPS26;FTH1;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
HDSigDB_Mouse_2021	COP Committed Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729	48/3128	5.276738e-07	3.539323e-05	0	0	2.537234e+00	3.667517e+01	RPL4;YWHAE;COX7B;SPARC;BEX1;ARL6IP1;RPLP1;BTF3L4;RPL8;ACTB;CSRP3;TUBB5;FTH1;G3BP1;POLR2G;TMPO;TLE4;EIF5A;ACTR2;RPS9;RPL41;CSNK2A1;RPS5;WDR18;RPL22;IGF2;HSPE1;RPL34-PS1;COX6C;PDIA6;COPZ1;ZWINT;EEF1A1;RPS26;DKC1;EEF1D;RPA3;NEDD4;SERBP1;NDUFS4;VPS41;NDUFAB1;RPS20;PPIG;PFN1;RPS21;DCTPP1;EZH2
HDSigDB_Mouse_2021	Differentially Expressed Proteins In iPSCs From HD Patient And Controls PMID30713489	8/94	5.635720e-07	3.645103e-05	0	0	1.285607e+01	1.849857e+02	YWHAE;EIF5A;UBB;RPLP1;SERBP1;IGF2BP1;PFN1;RPL29
HDSigDB_Mouse_2021	Up-regulated Genes In Human Neurodegenerative Prefrontal Cortex PMID29375298	38/2199	7.175343e-07	4.336044e-05	0	0	2.752511e+00	3.894100e+01	RPL4;TNFAIP8;AHNAK;CRABP2;DOCK8;RPLP1;CRABP1;SLC2A1;SLC41A1;FURIN;RPL8;RASIP1;CDH5;CCND3;PRDX1;G3BP1;RPL13;ANXA2;RPS5;RPL22;IGF2;VEGFB;HSPE1;SENP3;H19;TMEM54;ABI3;EEF1D;HAND2;NEDD4;SPECC1L;ESAM;RPS20;VIM;RPL29;RPS21;SNRPA;MYH7
HDSigDB_Mouse_2021	Genes Changed In Mouse Microglia During Accelerated Aging PMID26001565	17/541	7.403533e-07	4.336044e-05	0	0	4.678777e+00	6.604626e+01	RPS9;RPL41;RRM1;RPS5;RPLP1;SLC2A1;HSPE1;COX6C;EEF1A1;RPS26;EEF1D;FTH1;MAN2B1;RPL29;CALM2;RPS21;TMPO
HDSigDB_Mouse_2021	Cortex RNA M17 Module (Grey60) PMID26900923	12/262	7.422273e-07	4.336044e-05	0	0	6.768000e+00	9.552091e+01	DRAP1;RPS9;RPL41;TUBB5;RPS5;FTH1;RPS20;RPL29;PFN1;RPL8;RPS21;DHODH
HDSigDB_Mouse_2021	Mbf1 Suppressor Deletion In Htt103Q Yeasts Vs Control Htt25Q Strain GSE18644	28/1342	8.048497e-07	4.554946e-05	0	0	3.211073e+00	4.505973e+01	RPL4;YWHAE;RPLP1;SLC2A1;CPOX;SLC2A3;WDR89;CNN2;TUBB5;UBB;CBS;PRDX1;RPL13;EIF5A;ACTR2;RPS9;RRM1;ARG1;RPL22;HSPE1;COPZ1;RPS26;DRAP1;DKC1;EEF1D;RPL29;RPS21;SNRPA
HDSigDB_Mouse_2021	Top Oligodendrocyte-Expressed Genes In Humans And Mice PMID29892006	24/1051	1.165695e-06	6.397192e-05	0	0	3.463402e+00	4.731766e+01	RPL4;YWHAE;RPS9;RPL41;SPARC;ARL6IP1;PEG3;RPS5;HSPE1;RPL8;COX6C;ACTB;EEF1A1;TUBB5;UBB;EEF1D;NCL;FTH1;PRDX1;NEDD4;PMP22;RPS20;CYTB;CALM2
HDSigDB_Mouse_2021	Genes Up-Regulated In Neuro2a Htt25Q-ni Vs Htt72Q-ni Vs Htt72Q-i: Transcriptional Signature 4 PMID28743452	14/390	1.600512e-06	8.525080e-05	0	0	5.292398e+00	7.062804e+01	YWHAE;SPARC;CSNK2A1;HSPE1;ETV5;CCND3;EEF1D;PRDX1;NEDD4;KDR;GRB10;RPS20;RPL29;UBQLN4
HDSigDB_Mouse_2021	NFOL Newly Formed Oligodendrocyte-Enriched Genes PMID30078729	57/4197	1.664636e-06	8.613301e-05	0	0	2.300887e+00	3.061538e+01	RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;CPOX;RPL8;ACTB;CSRP3;TUBB5;FTH1;TMPO;TLE4;EIF5A;ACTR2;RPS9;CSNK2A1;RPS5;COG4;RPL22;PDIA6;SENP3;COPZ1;EEF1A1;DKC1;EEF1D;NDUFS4;FKBP9;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;ZNHIT3;G3BP1;MCMBP;POLR2G;RPL41;WDR18;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;RPS21;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs NuFF Cell Line GSE22651	63/4891	2.129848e-06	1.071432e-04	0	0	2.227355e+00	2.908805e+01	YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;TUBB5;MDK;KDR;TMPO;CSNK2A1;KRT8;CDC25A;FRMD5;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;CNNM3;RPL41;RRM1;WDR18;CCDC58;HSPE1;COX6C;ZWINT;DLK1;DHODH;RPS26;KRT18;ACTC1;ARMC10;ABI3;RPA3;TSPAN18;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Liver RNA M17 Module (Grey60) PMID26900923	8/114	2.453824e-06	1.190898e-04	0	0	1.041984e+01	1.346021e+02	RPL4;EEF1A1;RPS26;RPS9;RPL41;RPS5;RPL13;RPL8
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs SC41-MSC Cell Line GSE22651	59/4470	2.543749e-06	1.190898e-04	0	0	2.244493e+00	2.891326e+01	RPL4;YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;TUBB5;MDK;KDR;TMPO;RPS9;CSNK2A1;RPS5;KRT8;CDC25A;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;RPL29;DCTPP1;SNRPA;BEX1;CRABP2;CRABP1;BTF3L4;RASIP1;OSGEP;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DLK1;DHODH;RPS26;KRT18;ACTC1;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
HDSigDB_Mouse_2021	Recycling endosome/trans-Golgi Network Protein Composition PMID16615899	12/295	2.564605e-06	1.190898e-04	0	0	5.968732e+00	7.683970e+01	EEF1A1;RPL4;EIF5A;ACTR2;ARG1;NCL;PRDX1;RPL22;SERBP1;BTF3L4;G3BP1;RPL8
HDSigDB_Mouse_2021	Genes Down-Regulated In Control iPSCs After 130 D Of Differentiation GSE109534	54/3960	3.281104e-06	1.463456e-04	0	0	2.272269e+00	2.869270e+01	TNFAIP8;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;WDR89;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;EIF5A;RPS9;CSNK2A1;KRT8;PDIA6;SENP3;CDC25A;FAM189B;DKC1;SLC25A19;NCL;PFN1;RAPGEF5;DCTPP1;SNRPA;CRABP2;CRABP1;RASIP1;CNN2;PDF;UBB;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;MCMBP;MEST;RRM1;WDR18;HSPE1;ZWINT;KRT18;ACTC1;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;TSR1
HDSigDB_Mouse_2021	Genes Down-Regulated In Control iPSCs After 100 D Of Differentiation GSE109534	60/4616	3.313180e-06	1.463456e-04	0	0	2.213191e+00	2.792516e+01	RPL4;YWHAE;TNFAIP8;DOCK8;RPLP1;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;EIF5A;ACTR2;RPS9;RPS5;KRT8;PDIA6;SENP3;CDC25A;EEF1A1;FAM189B;MYL7;DKC1;EEF1D;SLC25A19;NCL;PFN1;DCTPP1;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;ZWINT;DHODH;KRT18;ARMC10;ABI3;SERBP1;TSR1;MAN2B1;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs HS-27 Cell Line GSE22651	60/4656	4.436531e-06	1.912990e-04	0	0	2.188190e+00	2.697084e+01	RPL4;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;MDK;KDR;GRB10;TMPO;CSNK2A1;KRT8;CDC25A;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DLK1;DHODH;RPS26;H19;KRT18;ACTC1;ARMC10;ABI3;RPA3;TSPAN18;SERBP1;NDUFAB1;TSR1;RPS20;EZH2
HDSigDB_Mouse_2021	Genes Down-Regulated In Neuro2a Htt25Q-ni Vs Htt72Q-ni Vs Htt72Q-i: Transcriptional Signature 2 PMID28743452	19/768	5.501060e-06	2.316842e-04	0	0	3.670551e+00	4.445246e+01	YWHAE;ARL6IP1;CSNK2A1;ARG1;CCNF;CDC25A;FAM189B;EEF1D;CCDC85B;CBS;NCL;HAND2;NEDD4;G3BP1;RAPGEF5;MEST;UBQLN4;EZH2;TMPO
