,Gene_set,Term,Overlap,P-value,Adjusted P-value,Old P-value,Old Adjusted P-value,Odds Ratio,Combined Score,Genes
10,HDSigDB_Mouse_2021,Top Microglia-Expressed Genes In Humans And Mice PMID29892006,29/1062,1.4100282918331495e-09,2.2423767858576714e-07,0,0,4.329773221398759,88.23928910293134,RPL4;YWHAE;SPARC;ARL6IP1;DOCK8;RPLP1;RPL8;ACTB;TUBB5;UBB;FTH1;PRDX1;RPL13;ACTR2;RPS9;RPL41;RPS5;RPL22;HSPE1;PDIA6;EEF1A1;NCL;SERBP1;PMP22;RPS20;MAN2B1;PPIG;CYTB;CALM2
11,HDSigDB_Mouse_2021,OPC1a Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729,60/3751,1.485837737730097e-09,2.2423767858576714e-07,0,0,2.8863794022287657,58.672262761508506,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;SENP3;COPZ1;ETV5;EEF1A1;FRMD5;DKC1;EEF1D;SPECC1L;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;DHX8;BTF3L4;CRIP2;G3BP1;MCMBP;POLR2G;UBQLN4;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;RPS21
12,HDSigDB_Mouse_2021,Down-regulated Genes In Cerebellum Of 6 Mon HD Q140 Mice Vs Q20 GSE78270,29/1143,7.401018902196171e-09,1.026410962140839e-06,0,0,3.997667539806339,74.84292512782929,RPL4;COX7B;ARL6IP1;RPLP1;CRIP2;RPL8;CCND3;PDF;MDK;FTH1;POLR2G;EIF5A;RPL41;RPS5;KRT8;VEGFB;AIG1;COX6C;DLK1;EEF1A1;RPS26;H19;TRAPPC6A;KRT18;ABI3;RPS20;PFN1;RPS21;DCTPP1
13,HDSigDB_Mouse_2021,NP3 Neural Progenitor Cell-Enriched Genes PMID30078729,53/3212,7.934706499156126e-09,1.026410962140839e-06,0,0,2.857304365240873,53.29449665729245,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CSRP3;TUBB5;MDK;FTH1;GRB10;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPS5;RPL22;PDIA6;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;SNRPA;BEX1;BTF3L4;CRIP2;ZNHIT3;G3BP1;IGF2BP1;MCMBP;POLR2G;MEST;RPL41;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;NDUFAB1;RPS20;MAN2B1;VIM;RPS21;EZH2
14,HDSigDB_Mouse_2021,OPC1b Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729,52/3191,1.8205923418247892e-08,2.1980618206964616e-06,0,0,2.796103758193596,49.830815786435416,RPL4;YWHAE;COX7B;TNFAIP8;SPARC;ARL6IP1;RPLP1;RPL8;ACTB;CCND3;CSRP3;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;PEG3;CSNK2A1;RPS5;RPL22;PDIA6;SENP3;COPZ1;ETV5;EEF1A1;EEF1D;NDUFS4;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;CRIP2;G3BP1;POLR2G;RPL41;RRM1;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;ARMC10;NEDD4;SERBP1;RPS20;RPS21;EZH2
15,HDSigDB_Mouse_2021,Genes Up-Regulated In Mouse Microglia During Accelerated Aging PMID26001565,16/379,3.0239028221958134e-08,3.4226800068728865e-06,0,0,6.362126313641465,110.1546974777712,RPS9;RPL41;RRM1;RPS5;RPLP1;SLC2A1;HSPE1;COX6C;EEF1A1;RPS26;EEF1D;FTH1;MAN2B1;RPL29;RPS21;TMPO
16,HDSigDB_Mouse_2021,Genes Changed In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824,23/806,4.0077589577428635e-08,4.26944204263078e-06,0,0,4.375379150702426,74.52342014971758,EIF5A;YWHAE;ACTR2;RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ZWINT;ETV5;EEF1A1;RPS26;FTH1;NEDD4;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
17,HDSigDB_Mouse_2021,The Global Proteome Data Of The Insoluble Fraction From The Brains Of Q175 And WT Mice PMID31138642,37/1901,5.3508996920998774e-08,5.38359963466271e-06,0,0,3.131564829455613,52.43309276585435,RPL4;YWHAE;RPLP1;SLC2A1;SLC2A3;CRIP2;RPL8;TUBB5;FTH1;PRDX1;G3BP1;RPL13;UBQLN4;TMPO;EIF5A;ACTR2;RPS9;CSNK2A1;RPL22;KRT8;HSPE1;COX6C;PDIA6;EEF1A1;RPS26;ARMC10;DKC1;EEF1D;NCL;NEDD4;SERBP1;SPECC1L;NDUFS4;NDUFAB1;RPS20;VIM;RPS21
18,HDSigDB_Mouse_2021,Top OPC-expressed Genes In Humans And Mice PMID29892006,26/1043,7.104872008056291e-08,6.772064845573654e-06,0,0,3.8515791543756146,63.39660771122016,RPL4;YWHAE;SPARC;ARL6IP1;ACTB;TUBB5;UBB;FTH1;PRDX1;MCMBP;TMPO;ACTR2;RPS9;RPL41;RPS5;RPL22;IGF2;PDIA6;ZWINT;ETV5;EEF1A1;NCL;NEDD4;PPIG;CYTB;CALM2
19,HDSigDB_Mouse_2021,Top Neuron-Expressed Genes In Humans And Mice PMID29892006,26/1051,8.261381315831285e-08,7.480680781485227e-06,0,0,3.819894634146342,62.29900133308772,RPL4;YWHAE;COX7B;BEX1;ARL6IP1;SLC2A3;RPL8;ACTB;TUBB5;UBB;FTH1;ACTR2;RPS9;RPL41;PEG3;RPS5;COX6C;ZWINT;EEF1A1;NCL;NEDD4;SERBP1;VPS41;PPIG;CYTB;CALM2
20,HDSigDB_Mouse_2021,Striatum RNA M22 Module (Darkgreen) PMID26900923,19/613,1.937243935004103e-07,1.6706422696630623e-05,0,0,4.665914192429344,72.12023938758433,RPL4;EIF5A;RPS9;RPL41;COX7B;CSNK2A1;RPS5;RPL22;RPL8;COX6C;RPS26;UBB;PRDX1;NDUFS4;RPL13;RPS20;POLR2G;RPL29;RPS21
21,HDSigDB_Mouse_2021,Cortex RNA M22 Module (Darkgreen) PMID26900923,18/570,3.175488785909914e-07,2.6140046324012972e-05,0,0,4.731203007518797,70.79125936984488,RPL4;EIF5A;COX7B;BEX1;RPL22;CPOX;HSPE1;COX6C;ACTB;COPZ1;EEF1A1;PDF;UBB;ZNHIT3;PRDX1;RPA3;RPL13;POLR2G
22,HDSigDB_Mouse_2021,The Global Proteome Data Of The Soluble Fraction From The Brains Of Q175 And WT Mice PMID31138642,56/3901,3.4419954425626194e-07,2.710197281078654e-05,0,0,2.4535596468414207,36.51398330113475,RPL4;YWHAE;SPARC;RPLP1;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;TUBB5;FTH1;TMPO;EIF5A;ACTR2;RPS9;ANXA2;CSNK2A1;RPS5;RPL22;PDIA6;COPZ1;EEF1A1;EEF1D;SLC25A19;NCL;NDUFS4;RPL29;SNRPA;BTF3L4;CRIP2;CCDC85B;CBS;PRDX1;G3BP1;RPL13;ANO10;CNNM3;UBQLN4;CCDC58;HSPE1;COX6C;ZWINT;DHODH;RPS26;DRAP1;ARMC10;ABI3;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;VIM;RPS21
23,HDSigDB_Mouse_2021,Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs Control Adrenal Gland GSE22651,64/4779,3.868994460412061e-07,2.9194787365859346e-05,0,0,2.3611998878609475,34.863354842052466,RPL4;YWHAE;COX7B;TNFAIP8;RPLP1;CCNF;SLC2A1;SLC2A3;RPL8;WDR89;ACTB;TUBB5;MDK;KDR;TMPO;EIF5A;CSNK2A1;RPS5;KRT8;PDIA6;CDC25A;FAM189B;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP2;DHX8;CRABP1;BTF3L4;OSGEP;CNN2;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;RPL41;WDR18;CCDC58;HSPE1;ZWINT;DHODH;RPS26;KRT18;ACTC1;ARMC10;RPA3;SERBP1;RPS20;RPS21;EZH2
24,HDSigDB_Mouse_2021,Genes Down-Regulated In HD iPSCs After 100 D Of Differentiation GSE109534,65/4907,4.415104881137709e-07,3.198301975896156e-05,0,0,2.3425237505163157,34.278300107001705,RPL4;YWHAE;TNFAIP8;DOCK8;RPLP1;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;TLE4;EIF5A;ACTR2;RPS9;RPS5;KRT8;PDIA6;SENP3;CDC25A;ETV5;EEF1A1;FAM189B;DKC1;SLC25A19;NCL;SPECC1L;PFN1;RAPGEF5;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DHODH;KRT18;ACTC1;ARMC10;ABI3;SERBP1;NDUFAB1;TSR1;RPS20;MAN2B1
25,HDSigDB_Mouse_2021,Genes Down-Regulated In Striatal Cholinergic Interneurons Of zQ175DN Vs HdhQ20 PMID32681824,18/586,4.7519344242551076e-07,3.309905093202308e-05,0,0,4.594117335592502,66.88825288506767,RPL41;AHNAK;RPS5;RPLP1;RPL22;CRIP2;RPL8;ETV5;EEF1A1;RPS26;FTH1;RPL13;RPS20;FKBP9;RPL29;RPS21;EZH2;MYH7
26,HDSigDB_Mouse_2021,COP Committed Oligodendrocyte Precursor Cell-Enriched Genes PMID30078729,48/3128,5.276738279156321e-07,3.5393233420563326e-05,0,0,2.5372336401462614,36.67517309166839,RPL4;YWHAE;COX7B;SPARC;BEX1;ARL6IP1;RPLP1;BTF3L4;RPL8;ACTB;CSRP3;TUBB5;FTH1;G3BP1;POLR2G;TMPO;TLE4;EIF5A;ACTR2;RPS9;RPL41;CSNK2A1;RPS5;WDR18;RPL22;IGF2;HSPE1;RPL34-PS1;COX6C;PDIA6;COPZ1;ZWINT;EEF1A1;RPS26;DKC1;EEF1D;RPA3;NEDD4;SERBP1;NDUFS4;VPS41;NDUFAB1;RPS20;PPIG;PFN1;RPS21;DCTPP1;EZH2
27,HDSigDB_Mouse_2021,Differentially Expressed Proteins In iPSCs From HD Patient And Controls PMID30713489,8/94,5.635719648278966e-07,3.645102958226146e-05,0,0,12.85607415839974,184.98567568314476,YWHAE;EIF5A;UBB;RPLP1;SERBP1;IGF2BP1;PFN1;RPL29
28,HDSigDB_Mouse_2021,Up-regulated Genes In Human Neurodegenerative Prefrontal Cortex PMID29375298,38/2199,7.175342588220874e-07,4.3360438118694696e-05,0,0,2.752511333248701,38.941003092526216,RPL4;TNFAIP8;AHNAK;CRABP2;DOCK8;RPLP1;CRABP1;SLC2A1;SLC41A1;FURIN;RPL8;RASIP1;CDH5;CCND3;PRDX1;G3BP1;RPL13;ANXA2;RPS5;RPL22;IGF2;VEGFB;HSPE1;SENP3;H19;TMEM54;ABI3;EEF1D;HAND2;NEDD4;SPECC1L;ESAM;RPS20;VIM;RPL29;RPS21;SNRPA;MYH7
29,HDSigDB_Mouse_2021,Genes Changed In Mouse Microglia During Accelerated Aging PMID26001565,17/541,7.403532912254318e-07,4.3360438118694696e-05,0,0,4.678776916942008,66.04626224074549,RPS9;RPL41;RRM1;RPS5;RPLP1;SLC2A1;HSPE1;COX6C;EEF1A1;RPS26;EEF1D;FTH1;MAN2B1;RPL29;CALM2;RPS21;TMPO
30,HDSigDB_Mouse_2021,Cortex RNA M17 Module (Grey60) PMID26900923,12/262,7.422272676308865e-07,4.3360438118694696e-05,0,0,6.768,95.52091484926537,DRAP1;RPS9;RPL41;TUBB5;RPS5;FTH1;RPS20;RPL29;PFN1;RPL8;RPS21;DHODH
31,HDSigDB_Mouse_2021,Mbf1 Suppressor Deletion In Htt103Q Yeasts Vs Control Htt25Q Strain GSE18644,28/1342,8.048497008024829e-07,4.5549462754790515e-05,0,0,3.2110727499969065,45.059732494398986,RPL4;YWHAE;RPLP1;SLC2A1;CPOX;SLC2A3;WDR89;CNN2;TUBB5;UBB;CBS;PRDX1;RPL13;EIF5A;ACTR2;RPS9;RRM1;ARG1;RPL22;HSPE1;COPZ1;RPS26;DRAP1;DKC1;EEF1D;RPL29;RPS21;SNRPA
32,HDSigDB_Mouse_2021,Top Oligodendrocyte-Expressed Genes In Humans And Mice PMID29892006,24/1051,1.1656948686797703e-06,6.397192142966861e-05,0,0,3.4634015441351234,47.317661007669486,RPL4;YWHAE;RPS9;RPL41;SPARC;ARL6IP1;PEG3;RPS5;HSPE1;RPL8;COX6C;ACTB;EEF1A1;TUBB5;UBB;EEF1D;NCL;FTH1;PRDX1;NEDD4;PMP22;RPS20;CYTB;CALM2
33,HDSigDB_Mouse_2021,Genes Up-Regulated In Neuro2a Htt25Q-ni Vs Htt72Q-ni Vs Htt72Q-i: Transcriptional Signature 4 PMID28743452,14/390,1.6005120119892716e-06,8.52508015797815e-05,0,0,5.292397887870788,70.62803934605901,YWHAE;SPARC;CSNK2A1;HSPE1;ETV5;CCND3;EEF1D;PRDX1;NEDD4;KDR;GRB10;RPS20;RPL29;UBQLN4
34,HDSigDB_Mouse_2021,NFOL Newly Formed Oligodendrocyte-Enriched Genes PMID30078729,57/4197,1.6646356798205615e-06,8.613300617585819e-05,0,0,2.300886524822695,30.615375834027233,RPL4;YWHAE;COX7B;SPARC;ARL6IP1;RPLP1;CPOX;RPL8;ACTB;CSRP3;TUBB5;FTH1;TMPO;TLE4;EIF5A;ACTR2;RPS9;CSNK2A1;RPS5;COG4;RPL22;PDIA6;SENP3;COPZ1;EEF1A1;DKC1;EEF1D;NDUFS4;FKBP9;PPIG;PFN1;DCTPP1;SNRPA;BEX1;BTF3L4;ZNHIT3;G3BP1;MCMBP;POLR2G;RPL41;WDR18;IGF2;HSPE1;RPL34-PS1;COX6C;ZWINT;RPS26;DRAP1;RPA3;NEDD4;SERBP1;VPS41;NDUFAB1;RPS20;MAN2B1;RPS21;EZH2
35,HDSigDB_Mouse_2021,Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs NuFF Cell Line GSE22651,63/4891,2.1298479808386743e-06,0.00010714318592496776,0,0,2.2273551065752804,29.08805481161716,YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;TUBB5;MDK;KDR;TMPO;CSNK2A1;KRT8;CDC25A;FRMD5;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;PFN1;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;POLR2G;MEST;CNNM3;RPL41;RRM1;WDR18;CCDC58;HSPE1;COX6C;ZWINT;DLK1;DHODH;RPS26;KRT18;ACTC1;ARMC10;ABI3;RPA3;TSPAN18;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
36,HDSigDB_Mouse_2021,Liver RNA M17 Module (Grey60) PMID26900923,8/114,2.4538237054924197e-06,0.00011908975240959024,0,0,10.41984430663676,134.60212179618483,RPL4;EEF1A1;RPS26;RPS9;RPL41;RPS5;RPL13;RPL8
37,HDSigDB_Mouse_2021,Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs SC41-MSC Cell Line GSE22651,59/4470,2.5437494238069286e-06,0.00011908975240959024,0,0,2.2444925236316324,28.913264079710316,RPL4;YWHAE;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;TUBB5;MDK;KDR;TMPO;RPS9;CSNK2A1;RPS5;KRT8;CDC25A;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;RPL29;DCTPP1;SNRPA;BEX1;CRABP2;CRABP1;BTF3L4;RASIP1;OSGEP;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DLK1;DHODH;RPS26;KRT18;ACTC1;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;RPS20;RPS21;EZH2
38,HDSigDB_Mouse_2021,Recycling endosome/trans-Golgi Network Protein Composition PMID16615899,12/295,2.5646053804384425e-06,0.00011908975240959024,0,0,5.9687317283982,76.83969709993656,EEF1A1;RPL4;EIF5A;ACTR2;ARG1;NCL;PRDX1;RPL22;SERBP1;BTF3L4;G3BP1;RPL8
39,HDSigDB_Mouse_2021,Genes Down-Regulated In Control iPSCs After 130 D Of Differentiation GSE109534,54/3960,3.281104232109408e-06,0.00014634560510879362,0,0,2.2722694664829683,28.692697620352735,TNFAIP8;DOCK8;CCNF;SLC2A1;CPOX;SLC2A3;WDR89;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;EIF5A;RPS9;CSNK2A1;KRT8;PDIA6;SENP3;CDC25A;FAM189B;DKC1;SLC25A19;NCL;PFN1;RAPGEF5;DCTPP1;SNRPA;CRABP2;CRABP1;RASIP1;CNN2;PDF;UBB;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;MCMBP;MEST;RRM1;WDR18;HSPE1;ZWINT;KRT18;ACTC1;ARMC10;ABI3;RPA3;SERBP1;NDUFAB1;TSR1
40,HDSigDB_Mouse_2021,Genes Down-Regulated In Control iPSCs After 100 D Of Differentiation GSE109534,60/4616,3.3131804580124454e-06,0.00014634560510879362,0,0,2.213190672365387,27.92515897979114,RPL4;YWHAE;TNFAIP8;DOCK8;RPLP1;CCNF;SLC2A1;CPOX;SLC2A3;RPL8;ACTB;CDH5;TUBB5;MDK;KDR;GRB10;TMPO;EIF5A;ACTR2;RPS9;RPS5;KRT8;PDIA6;SENP3;CDC25A;EEF1A1;FAM189B;MYL7;DKC1;EEF1D;SLC25A19;NCL;PFN1;DCTPP1;SNRPA;CRABP2;CRABP1;FURIN;RASIP1;CNN2;PDF;UBB;CCDC85B;CBS;PRDX1;G3BP1;IGF2BP1;ANO10;CNNM3;RRM1;WDR18;ZWINT;DHODH;KRT18;ARMC10;ABI3;SERBP1;TSR1;MAN2B1;EZH2
41,HDSigDB_Mouse_2021,Genes Down-Regulated In Friedreich Ataxia iPSCs Expression Vs HS-27 Cell Line GSE22651,60/4656,4.436531191554385e-06,0.0001912989997120236,0,0,2.1881903996786503,26.970842194529517,RPL4;COX7B;ARL6IP1;RPLP1;CCNF;SLC2A3;RPL8;WDR89;MDK;KDR;GRB10;TMPO;CSNK2A1;KRT8;CDC25A;TRAPPC6A;MYL7;DKC1;SLC25A19;NCL;PPIG;RPL29;DCTPP1;SNRPA;BEX1;CRABP1;BTF3L4;RASIP1;OSGEP;PDF;UBB;ZNHIT3;CBS;PRDX1;G3BP1;IGF2BP1;RPL13;MCMBP;MEST;CNNM3;RRM1;WDR18;CCDC58;HSPE1;ZWINT;DLK1;DHODH;RPS26;H19;KRT18;ACTC1;ARMC10;ABI3;RPA3;TSPAN18;SERBP1;NDUFAB1;TSR1;RPS20;EZH2
