"subjects"	"cluster.id"
"87"	"subject87"	1
"88"	"subject88"	1
"89"	"subject89"	15
"90"	"subject90"	5
"91"	"subject91"	13
"92"	"subject92"	10
"93"	"subject93"	4
"94"	"subject94"	12
"95"	"subject95"	1
"96"	"subject96"	6
"97"	"subject97"	1
"98"	"subject98"	4
"99"	"subject99"	9
"100"	"subject100"	9
"101"	"subject101"	4
"102"	"subject102"	9
"103"	"subject103"	12
"104"	"subject104"	5
"105"	"subject105"	7
"106"	"subject106"	12
"107"	"subject107"	5
"108"	"subject108"	10
"109"	"subject109"	7
"110"	"subject110"	9
"111"	"subject111"	8
"112"	"subject112"	1
"113"	"subject113"	8
"114"	"subject114"	2
"115"	"subject115"	3
"116"	"subject116"	7
"117"	"subject117"	3
"118"	"subject118"	10
"119"	"subject119"	9
"120"	"subject120"	13
"121"	"subject121"	15
"122"	"subject122"	15
"123"	"subject123"	8
"124"	"subject124"	15
"125"	"subject125"	14
"126"	"subject126"	7
"127"	"subject127"	15
"128"	"subject128"	3
"129"	"subject129"	9
"130"	"subject130"	5
"131"	"subject131"	10
"132"	"subject132"	5
"133"	"subject133"	8
"134"	"subject134"	11
"135"	"subject135"	12
"136"	"subject136"	4
"137"	"subject137"	7
"138"	"subject138"	11
"139"	"subject139"	1
"140"	"subject140"	9
"141"	"subject141"	9
"142"	"subject142"	5
"143"	"subject143"	5
"144"	"subject144"	4
"145"	"subject145"	7
"146"	"subject146"	3
"147"	"subject147"	6
"148"	"subject148"	7
"149"	"subject149"	3
"150"	"subject150"	13
"151"	"subject151"	11
"152"	"subject152"	3
"153"	"subject153"	8
"154"	"subject154"	4
"155"	"subject155"	5
"156"	"subject156"	1
"157"	"subject157"	6
"158"	"subject158"	5
"159"	"subject159"	7
"160"	"subject160"	8
"161"	"subject161"	10
"162"	"subject162"	6
"163"	"subject163"	2
"164"	"subject164"	5
"165"	"subject165"	13
"166"	"subject166"	6
"167"	"subject167"	11
"168"	"subject168"	13
"169"	"subject169"	9
"170"	"subject170"	2
"171"	"subject171"	8
"172"	"subject172"	13
"173"	"subject173"	5
"174"	"subject174"	15
"175"	"subject175"	14
"176"	"subject176"	14
"177"	"subject177"	11
"178"	"subject178"	13
"179"	"subject179"	6
"180"	"subject180"	5
"181"	"subject181"	2
"182"	"subject182"	3
"183"	"subject183"	3
"184"	"subject184"	2
"185"	"subject185"	7
"186"	"subject186"	12
"187"	"subject187"	13
"188"	"subject188"	6
"189"	"subject189"	14
"190"	"subject190"	4
"191"	"subject191"	1
"192"	"subject192"	8
"193"	"subject193"	13
"194"	"subject194"	9
"195"	"subject195"	8
"196"	"subject196"	9
"197"	"subject197"	1
"198"	"subject198"	1
"199"	"subject199"	12
"200"	"subject200"	6
"201"	"subject201"	2
"202"	"subject202"	9
"203"	"subject203"	8
"204"	"subject204"	11
"205"	"subject205"	9
"206"	"subject206"	2
"207"	"subject207"	3
"208"	"subject208"	3
"209"	"subject209"	4
"210"	"subject210"	2
"211"	"subject211"	3
"212"	"subject212"	13
"213"	"subject213"	11
"214"	"subject214"	15
"215"	"subject215"	12
"216"	"subject216"	4
"217"	"subject217"	5
"218"	"subject218"	9
"219"	"subject219"	4
"220"	"subject220"	12
"221"	"subject221"	9
"222"	"subject222"	2
"223"	"subject223"	15
"224"	"subject224"	14
"225"	"subject225"	10
"226"	"subject226"	6
"227"	"subject227"	3
"228"	"subject228"	1
"229"	"subject229"	12
"230"	"subject230"	8
"231"	"subject231"	9
"232"	"subject232"	10
"233"	"subject233"	12
"234"	"subject234"	1
"235"	"subject235"	4
"236"	"subject236"	4
"237"	"subject237"	4
"238"	"subject238"	4
"239"	"subject239"	9
"240"	"subject240"	13
"241"	"subject241"	15
"242"	"subject242"	5
"243"	"subject243"	14
"244"	"subject244"	11
"245"	"subject245"	15
"246"	"subject246"	4
"247"	"subject247"	1
"248"	"subject248"	6
"249"	"subject249"	15
"250"	"subject250"	7
"251"	"subject251"	2
"252"	"subject252"	6
"253"	"subject253"	10
"254"	"subject254"	6
"255"	"subject255"	5
"256"	"subject256"	10
"257"	"subject257"	8
"258"	"subject258"	11
"259"	"subject259"	2
"260"	"subject260"	12
"261"	"subject261"	10
"262"	"subject262"	9
"263"	"subject263"	5
"264"	"subject264"	14
"265"	"subject265"	7
"266"	"subject266"	2
"267"	"subject267"	4
"268"	"subject268"	2
"269"	"subject269"	5
"270"	"subject270"	13
"271"	"subject271"	13
"272"	"subject272"	3
"273"	"subject273"	3
"274"	"subject274"	10
"275"	"subject275"	11
"276"	"subject276"	3
"277"	"subject277"	6
"278"	"subject278"	11
"279"	"subject279"	6
"280"	"subject280"	1
"281"	"subject281"	4
"282"	"subject282"	9
"283"	"subject283"	15
"284"	"subject284"	12
"285"	"subject285"	6
"286"	"subject286"	2
"287"	"subject287"	9
"288"	"subject288"	8
"289"	"subject289"	5
"290"	"subject290"	5
"291"	"subject291"	11
"292"	"subject292"	13
"293"	"subject293"	1
"294"	"subject294"	11
"295"	"subject295"	10
"296"	"subject296"	4
"297"	"subject297"	12
"298"	"subject298"	3
"299"	"subject299"	5
"300"	"subject300"	13
"301"	"subject301"	3
"302"	"subject302"	10
"303"	"subject303"	3
"304"	"subject304"	15
"305"	"subject305"	1
"306"	"subject306"	7
"307"	"subject307"	15
"308"	"subject308"	5
"309"	"subject309"	11
"310"	"subject310"	14
"311"	"subject311"	15
"312"	"subject312"	10
"313"	"subject313"	3
"314"	"subject314"	3
"315"	"subject315"	8
"316"	"subject316"	1
"317"	"subject317"	10
"318"	"subject318"	9
"319"	"subject319"	5
"320"	"subject320"	9
"321"	"subject321"	9
"322"	"subject322"	4
"323"	"subject323"	9
"324"	"subject324"	11
"325"	"subject325"	11
"326"	"subject326"	9
"327"	"subject327"	9
"328"	"subject328"	2
"329"	"subject329"	14
"330"	"subject330"	11
"331"	"subject331"	15
"332"	"subject332"	6
"333"	"subject333"	13
"334"	"subject334"	11
"335"	"subject335"	14
"336"	"subject336"	2
"337"	"subject337"	4
"338"	"subject338"	14
"339"	"subject339"	5
"340"	"subject340"	3
"341"	"subject341"	9
"342"	"subject342"	14
"343"	"subject343"	6
"344"	"subject344"	2
"345"	"subject345"	6
"346"	"subject346"	8
"347"	"subject347"	10
"348"	"subject348"	6
"349"	"subject349"	11
"350"	"subject350"	7
"351"	"subject351"	5
"352"	"subject352"	11
"353"	"subject353"	13
"354"	"subject354"	8
"355"	"subject355"	15
"356"	"subject356"	14
"357"	"subject357"	7
"358"	"subject358"	10
"359"	"subject359"	10
"360"	"subject360"	10
"361"	"subject361"	1
"362"	"subject362"	1
"363"	"subject363"	2
"364"	"subject364"	7
"365"	"subject365"	3
"366"	"subject366"	6
"367"	"subject367"	7
"368"	"subject368"	4
"369"	"subject369"	7
"370"	"subject370"	3
"371"	"subject371"	10
"372"	"subject372"	15
"373"	"subject373"	6
"374"	"subject374"	6
"375"	"subject375"	9
"376"	"subject376"	1
"377"	"subject377"	9
"378"	"subject378"	13
"379"	"subject379"	5
"380"	"subject380"	7
"381"	"subject381"	15
"382"	"subject382"	15
"383"	"subject383"	8
"384"	"subject384"	1
"385"	"subject385"	8
"386"	"subject386"	15
"387"	"subject387"	2
"388"	"subject388"	13
"389"	"subject389"	11
"390"	"subject390"	2
"391"	"subject391"	15
"392"	"subject392"	15
"393"	"subject393"	12
"394"	"subject394"	1
"395"	"subject395"	1
"396"	"subject396"	8
"397"	"subject397"	11
"398"	"subject398"	1
"399"	"subject399"	2
"400"	"subject400"	1
"401"	"subject401"	3
"402"	"subject402"	13
"403"	"subject403"	6
"404"	"subject404"	13
"405"	"subject405"	14
"406"	"subject406"	4
"407"	"subject407"	13
"408"	"subject408"	4
"409"	"subject409"	13
"410"	"subject410"	7
"411"	"subject411"	2
"412"	"subject412"	8
"413"	"subject413"	14
"414"	"subject414"	9
"415"	"subject415"	3
"416"	"subject416"	13
"417"	"subject417"	12
"418"	"subject418"	6
"419"	"subject419"	3
"420"	"subject420"	4
"421"	"subject421"	7
"422"	"subject422"	8
"423"	"subject423"	3
"424"	"subject424"	2
"425"	"subject425"	15
"426"	"subject426"	12
"427"	"subject427"	2
"428"	"subject428"	15
"429"	"subject429"	12
"430"	"subject430"	15
"431"	"subject431"	14
"432"	"subject432"	8
"433"	"subject433"	7
"434"	"subject434"	14
"435"	"subject435"	11
"436"	"subject436"	10
"437"	"subject437"	11
"438"	"subject438"	6
"439"	"subject439"	7
"440"	"subject440"	13
"441"	"subject441"	12
"442"	"subject442"	6
"443"	"subject443"	7
"444"	"subject444"	7
"445"	"subject445"	14
"446"	"subject446"	15
"447"	"subject447"	1
"448"	"subject448"	3
"449"	"subject449"	1
"450"	"subject450"	6
"451"	"subject451"	14
"452"	"subject452"	9
"453"	"subject453"	8
"454"	"subject454"	2
"455"	"subject455"	13
"456"	"subject456"	13
"457"	"subject457"	7
"458"	"subject458"	8
"459"	"subject459"	1
"460"	"subject460"	3
"461"	"subject461"	8
"462"	"subject462"	2
"463"	"subject463"	7
"464"	"subject464"	6
"465"	"subject465"	14
"466"	"subject466"	11
"467"	"subject467"	14
"468"	"subject468"	2
"469"	"subject469"	13
"470"	"subject470"	3
"471"	"subject471"	10
"472"	"subject472"	13
"473"	"subject473"	12
"474"	"subject474"	12
"475"	"subject475"	10
"476"	"subject476"	1
"477"	"subject477"	7
"478"	"subject478"	13
"479"	"subject479"	1
"480"	"subject480"	2
"481"	"subject481"	7
"482"	"subject482"	4
"483"	"subject483"	6
"484"	"subject484"	3
"485"	"subject485"	12
"486"	"subject486"	5
"487"	"subject487"	7
"488"	"subject488"	15
"489"	"subject489"	4
"490"	"subject490"	10
"491"	"subject491"	5
"492"	"subject492"	12
"493"	"subject493"	1
"494"	"subject494"	8
"495"	"subject495"	3
"496"	"subject496"	13
"497"	"subject497"	9
"498"	"subject498"	1
"499"	"subject499"	12
"500"	"subject500"	6
